"ROW","ResponseId","AGECAT"
"127","R_XmHwuztG5jxJOhj","18-30"
"128","R_2z8tHmEDRowNCgR","31-40"
"129","R_vxgsKE6zxyjvzOx","18-30"
"130","R_2zLTUYFAVSCrWdx","18-30"
"131","R_30uHJZmcfE0onUG","31-40"
"132","R_2zoOf0oQvYxmux8","18-30"
"133","R_3KjJNtBrPy0Vd4t","51-60"
"134","R_1F8LA3m7rxdxKUw","18-30"
"135","R_BS6KhQn31Vxj2yB",NA
"136","R_DpHmXVa7moxXoc1","41-50"
"137","R_1dzx7JdvNjBAxfm","18-30"
"138","R_TjRSnORyAtKGDAZ","18-30"
"139","R_3JwQjHfJ42efCiv","51-60"
"140","R_1jptET6MndcS4Ql","18-30"
"141","R_1QzonToSZGiYnxh","51-60"
"142","R_1r2OXq9jwwtKf6j","18-30"
"143","R_2QPO03R4QsamaA8",NA
"144","R_W1GbV6Xjk8FqpbP","18-30"
"145","R_10ueixhybH7o3E0","18-30"
"146","R_2yq5VmtG524AgRP","41-50"
"147","R_1jBZiF81Xc48PSI","61-70"
"148","R_1N4dk1ZhIaTYZM5","41-50"
"149","R_T7nL3CVJM9QMhS9","18-30"
"150","R_8ueqFJ0MwoKzRER","41-50"
"151","R_RC7oMRT4O8IA1i1","31-40"
"152","R_11d2lpTnx1DTOod","41-50"
"153","R_3EMX7G2XGNKj2W4","18-30"
"154","R_3noq3Y6mKtqd582","18-30"
"155","R_2rvi4l2B00HgJDM","18-30"
"156","R_2qdrBnWAPwdD3Cj","31-40"
"157","R_3hmgIKqcRuKv7fy","51-60"
"158","R_1hBaMyjOnh8YoBl","31-40"
"159","R_1QDB0VaKA9xuY6K","41-50"
"160","R_2iAceVDeekDgvkZ","51-60"
"161","R_Q0qNyfnq49KT7yx","41-50"
"162","R_1OTeNwRZne5L1Ar","18-30"
"163","R_1hAX95AIw8VqQMN","18-30"
"164","R_1EXzcJN4q2I1jSx","18-30"
"165","R_2TmZyaxS34MIror","51-60"
"166","R_331G2IMzuWCRiya","41-50"
"167","R_9plJVEIt2AgML3b","41-50"
"168","R_2dgaYMoVknkwbf5","41-50"
"169","R_BKCmiUSVfhNPZF7","18-30"
"170","R_22Rnby9iNIztZay",NA
"171","R_3VjwF3YmMFhExX3","31-40"
