Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644448276405482bb70aa2e1,6108c2a4793126a1db8dcae8,APPROVED,2023-04-22T20:48:51.258000Z,2023-04-22T20:58:51.559000Z,2023-04-22T20:58:51.937000,2023-04-22T20:58:51.879684Z,601,CTR530VA,346,English,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6444486abf56a885839872d8,62953cda5b8de092ba3c4d2f,APPROVED,2023-04-22T20:50:09.012000Z,2023-04-22T20:54:54.386000Z,2023-04-22T20:54:54.855000,2023-04-22T20:54:54.777619Z,286,CTR530VA,811,English,29,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644448c8cd81eb364d17dad8,61222038c2048b50449284a1,APPROVED,2023-04-22T20:51:24.390000Z,2023-04-22T20:55:46.609000Z,2023-04-22T20:55:47.182000,2023-04-22T20:55:47.122099Z,263,CTR530VA,2407,English,33,Female,Black,United States,United States,United States,English,No,Full-Time
644448eaf87073f7b4dd6ef4,5bf28a086d4c3e00014410f7,APPROVED,2023-04-22T20:52:00.606000Z,2023-04-22T20:57:46.374000Z,2023-04-22T20:57:47.083000,2023-04-22T20:57:47.005362Z,346,CTR530VA,1661,English,22,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6444497cf040da5fbd341a7b,5e3b2fd1a490723451371729,APPROVED,2023-04-22T20:54:26.960000Z,2023-04-22T20:58:22.759000Z,2023-04-22T20:58:23.215000,2023-04-22T20:58:23.137002Z,236,CTR530VA,191,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64444a2ec3ecb75037faf397,611110eb22e49637cc9d9a29,APPROVED,2023-04-22T20:57:36.020000Z,2023-04-22T21:04:27.217000Z,2023-04-22T21:04:27.688000,2023-04-22T21:04:27.617237Z,412,CTR530VA,71,English,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64444abb79a98be6677dcb69,5f11e883afd70a0d94572e6a,APPROVED,2023-04-22T20:59:42.982000Z,2023-04-22T21:03:11.796000Z,2023-04-22T21:03:12.243000,2023-04-22T21:03:12.187728Z,209,CTR530VA,1421,"English, German",43,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
